rank,min_score,min_rs,require_weekly_bull,min_rr,setups,regimes,n,wr,pf,avg_ret,max_dd,score
1,75,80,False,0,"Near-VCP Breakout,Squeeze Expansion,VCP Breakout,Pocket Pivot","bull,bear,neutral",31,48.4,1.7,0.97,18.6,7.71
2,75,80,False,2.5,"52wk Breakout,Bounce off Support,EMA21 Pullback,Near-VCP Breakout,Pocket Pivot,Squeeze Expansion,Trend Continuation,VCP Breakout","bull,bear,neutral",57,35.1,1.13,0.23,33.8,5.63
3,75,80,False,0,"52wk Breakout,Bounce off Support,EMA21 Pullback,Near-VCP Breakout,Pocket Pivot,Squeeze Expansion,Trend Continuation,VCP Breakout","bull,bear,neutral",66,33.3,1.09,0.15,38.4,5.45
4,75,60,False,2.5,"52wk Breakout,Bounce off Support,EMA21 Pullback,Near-VCP Breakout,Pocket Pivot,Squeeze Expansion,Trend Continuation,VCP Breakout","bull,bear,neutral",76,32.9,1.0,-0.0,43.3,4.93
5,75,70,False,2.5,"52wk Breakout,Bounce off Support,EMA21 Pullback,Near-VCP Breakout,Pocket Pivot,Squeeze Expansion,Trend Continuation,VCP Breakout","bull,bear,neutral",76,32.9,1.0,-0.0,43.3,4.93
6,75,60,False,0,"52wk Breakout,Bounce off Support,EMA21 Pullback,Near-VCP Breakout,Pocket Pivot,Squeeze Expansion,Trend Continuation,VCP Breakout","bull,bear,neutral",90,31.1,0.96,-0.07,46.5,4.88
7,75,70,False,0,"52wk Breakout,Bounce off Support,EMA21 Pullback,Near-VCP Breakout,Pocket Pivot,Squeeze Expansion,Trend Continuation,VCP Breakout","bull,bear,neutral",90,31.1,0.96,-0.07,46.5,4.88
8,75,60,False,0,"Near-VCP Breakout,Squeeze Expansion,VCP Breakout,Pocket Pivot","bull,bear,neutral",51,37.3,1.02,0.04,33.8,4.85
9,75,70,False,0,"Near-VCP Breakout,Squeeze Expansion,VCP Breakout,Pocket Pivot","bull,bear,neutral",51,37.3,1.02,0.04,33.8,4.85
10,60,60,False,2.5,"52wk Breakout,Bounce off Support,EMA21 Pullback,Near-VCP Breakout,Pocket Pivot,Squeeze Expansion,Trend Continuation,VCP Breakout","bear,neutral",168,38.7,0.96,-0.08,62.4,4.65
11,60,70,False,2.5,"52wk Breakout,Bounce off Support,EMA21 Pullback,Near-VCP Breakout,Pocket Pivot,Squeeze Expansion,Trend Continuation,VCP Breakout","bear,neutral",168,38.7,0.96,-0.08,62.4,4.65
12,50,60,False,2.5,"52wk Breakout,Bounce off Support,EMA21 Pullback,Near-VCP Breakout,Pocket Pivot,Squeeze Expansion,Trend Continuation,VCP Breakout","bear,neutral",173,38.2,0.94,-0.12,62.4,4.64
13,50,70,False,2.5,"52wk Breakout,Bounce off Support,EMA21 Pullback,Near-VCP Breakout,Pocket Pivot,Squeeze Expansion,Trend Continuation,VCP Breakout","bear,neutral",173,38.2,0.94,-0.12,62.4,4.64
14,55,60,False,2.5,"52wk Breakout,Bounce off Support,EMA21 Pullback,Near-VCP Breakout,Pocket Pivot,Squeeze Expansion,Trend Continuation,VCP Breakout","bear,neutral",173,38.2,0.94,-0.12,62.4,4.64
15,55,70,False,2.5,"52wk Breakout,Bounce off Support,EMA21 Pullback,Near-VCP Breakout,Pocket Pivot,Squeeze Expansion,Trend Continuation,VCP Breakout","bear,neutral",173,38.2,0.94,-0.12,62.4,4.64
16,75,60,False,2.5,"Near-VCP Breakout,Squeeze Expansion,VCP Breakout,Pocket Pivot","bull,bear,neutral",43,37.2,1.01,0.02,30.8,4.59
17,75,70,False,2.5,"Near-VCP Breakout,Squeeze Expansion,VCP Breakout,Pocket Pivot","bull,bear,neutral",43,37.2,1.01,0.02,30.8,4.59
18,60,80,False,2.5,"52wk Breakout,Bounce off Support,EMA21 Pullback,Near-VCP Breakout,Pocket Pivot,Squeeze Expansion,Trend Continuation,VCP Breakout","bear,neutral",138,39.1,0.98,-0.03,61.8,4.42
19,50,80,False,2.5,"52wk Breakout,Bounce off Support,EMA21 Pullback,Near-VCP Breakout,Pocket Pivot,Squeeze Expansion,Trend Continuation,VCP Breakout","bear,neutral",143,38.5,0.96,-0.07,61.8,4.4
20,55,80,False,2.5,"52wk Breakout,Bounce off Support,EMA21 Pullback,Near-VCP Breakout,Pocket Pivot,Squeeze Expansion,Trend Continuation,VCP Breakout","bear,neutral",143,38.5,0.96,-0.07,61.8,4.4
